Artist,Artist Popularity,Artist Followers,Song Name,Year,Explicit,Popularity,Valence,Loudness,Danceability,Energy
Noizy,63,586508,Toto (feat. RAF Camora),2018,True,64,0.574,-7.353,0.764,0.683
Noizy,63,586508,Kallma (feat. Dhurata Dora),2023,False,61,0.85,-6.746,0.741,0.69
Noizy,63,586508,Hapa,2023,False,58,0.588,-4.251,0.78,0.722
Noizy,63,586508,Ne Fund te Botes,2023,True,60,0.663,-5.662,0.849,0.752
Noizy,63,586508,Medalioni,2023,False,55,0.536,-5.11,0.74,0.644
Noizy,63,586508,Who Want Something,2020,True,56,0,-4.78,0,0.784
Noizy,63,586508,16 Bars,2023,True,55,0.736,-4.164,0.875,0.814
Noizy,63,586508,Yalla,2023,True,53,0.707,-5.96,0.832,0.483
Noizy,63,586508,Jena Mbreter 2,2023,True,53,0.588,-4.092,0.775,0.838
Noizy,63,586508,Kontroll,2023,True,52,0.807,-7.076,0.554,0.636
Noizy,63,586508,Jena Mbreter 2,2023,True,53,0.588,-4.092,0.775,0.838
Noizy,63,586508,My All,2023,True,50,0.471,-8.649,0.557,0.596
Noizy,63,586508,0tr Me Zemer,2009,False,49,0.579,-7.835,0.581,0.806
Noizy,63,586508,Do ku Do,2023,True,52,0.828,-6.315,0.77,0.685
Noizy,63,586508,Ti Ti,2021,False,48,0.227,-6.081,0.721,0.531
Noizy,63,586508,TUNDE,2021,False,46,0.727,-6.396,0.76,0.747
Noizy,63,586508,Location,2023,True,55,0.444,-10.641,0.753,0.528
Noizy,63,586508,Fatos NANO,2023,True,45,0.61,-7.648,0.741,0.7
Noizy,63,586508,Fatos NANO,2022,False,47,0.618,-7.652,0.728,0.698
Noizy,63,586508,Gunz Up,2013,False,48,0.397,-3.983,0.597,0.866
Noizy,63,586508,Midis Tirone,2016,True,45,0.326,-8.952,0.579,0.598
Noizy,63,586508,Location,2023,True,57,0.444,-10.641,0.753,0.528
Noizy,63,586508,E du E Marr,2023,True,44,0.831,-5.935,0.756,0.801
Noizy,63,586508,Nuk kan besu,2019,False,44,0.636,-4.396,0.92,0.864
Noizy,63,586508,Jena Mbreter,2009,False,46,0.872,-5.678,0.525,0.639
Noizy,63,586508,I Lumtur,2023,True,43,0.735,-7.963,0.846,0.532
Noizy,63,586508,All In,2023,True,46,0.891,-10.49,0.761,0.449
Noizy,63,586508,Pa mu,2021,False,43,0.845,-5.404,0.826,0.737
Noizy,63,586508,Kallabllak,2020,True,45,0.699,-7.728,0.498,0.658
Noizy,63,586508,A Don Love?,2018,False,46,0.435,-11.848,0.689,0.499
Dafina Zeqiri,61,277332,My Love,2023,False,66,0.533,-5.198,0.575,0.66
Dafina Zeqiri,61,277332,SI MUA,2023,False,65,0.625,-4.722,0.484,0.498
Dafina Zeqiri,61,277332,Drama,2023,True,61,0.596,-5.274,0.771,0.831
Dafina Zeqiri,61,277332,Huti,2024,False,60,0.395,-5.714,0.804,0.735
Dafina Zeqiri,61,277332,Une të du,2023,False,61,0.46,-9.27,0.394,0.338
Dafina Zeqiri,61,277332,Xhane Xhane,2023,False,55,0.572,-5.421,0.629,0.638
Dafina Zeqiri,61,277332,Dasma,2023,False,56,0.612,-4.386,0.814,0.744
